地名,センター,可燃ゴミ,資源ゴミ,埋立ゴミ,ビニール・廃プラスチック,古紙類
東区（山側）,A地区,月 木,土2 土4,土2 土4,水,土1 土3
矢の熊区（山側）,A地区,月 木,土2 土4,土2 土4,水,土1 土3
植松区（国道より南側）,A地区,月 木,土2 土4,土2 土4,水,土1 土3
堀区（国道より南側）,A地区,月 木,土2 土4,土2 土4,水,土1 土3
北区,A地区,月 木,土2 土4,土2 土4,水,土1 土3
大水崎区,A地区,月 木,土2 土4,土2 土4,水,土1 土3
サンゴ台区,A地区,月 木,土2 土4,土2 土4,水,土1 土3
東区（海側）,B地区,火 金,土2 土4,土2 土4,水,土1 土3
矢の熊区（海側）,B地区,火 金,土2 土4,土2 土4,水,土1 土3
植松区（国道より北側）,B地区,火 金,土2 土4,土2 土4,水,土1 土3
堀区（国道より北側）,B地区,火 金,土2 土4,土2 土4,水,土1 土3
南区,B地区,火 金,土2 土4,土2 土4,水,土1 土3
西区,B地区,火 金,土2 土4,土2 土4,水,土1 土3
袋区,B地区,火 金,土2 土4,土2 土4,水,土1 土3
潮岬,C地区,月 木,土2 土4,水1 水3,金,水2 水4
出雲,C地区,月 木,土2 土4,水1 水3,金,水2 水4
くじの川,C地区,月 木,土2 土4,水1 水3,金,水2 水4
橋杭,C地区,月 木,土2 土4,水1 水3,金,水2 水4
二色,D地区,火 金,土2 土4,水1 水3,木,土1 土3
高富,D地区,火 金,土2 土4,水1 水3,木,土1 土3
有田,E地区,火 金,土2 土4,水1 水3,木,水2 水4
田並,E地区,火 金,土2 土4,水1 水3,木,水2 水4
江田,E地区,火 金,土2 土4,水1 水3,木,水2 水4
田子,E地区,火 金,土2 土4,水1 水3,木,水2 水4
安指,E地区,火 金,土2 土4,水1 水3,木,水2 水4
和深,E地区,火 金,土2 土4,水1 水3,木,水2 水4
大島,E地区,火 金,土2 土4,水1 水3,木,水2 水4
須江,E地区,火 金,土2 土4,水1 水3,木,水2 水4
樫野,E地区,火 金,土2 土4,水1 水3,木,水2 水4
古田,F地区,火 金,水1 水3,水2 水4,土,月2 月4
岩渕,F地区,火 金,水1 水3,水2 水4,土,月2 月4
原町,F地区,火 金,水1 水3,水2 水4,土,月2 月4
住吉,F地区,火 金,水1 水3,水2 水4,土,月2 月4
上げ地,F地区,火 金,水1 水3,水2 水4,土,月2 月4
神野川,F地区,火 金,水1 水3,水2 水4,土,月2 月4
目津大浦,F地区,火 金,水1 水3,水2 水4,土,月2 月4
伊串,F地区,火 金,水1 水3,水2 水4,土,月2 月4
姫,F地区,火 金,水1 水3,水2 水4,土,月2 月4
姫川,F地区,火 金,水1 水3,水2 水4,土,月2 月4
中湊,G地区,月 木,水1 水3,水2 水4,土,月1 月3
古座,G地区,月 木,水1 水3,水2 水4,土,月1 月3
上野山,G地区,月 木,水1 水3,水2 水4,土,月1 月3
津荷,G地区,月 木,水1 水3,水2 水4,土,月1 月3
古座ヴィラ,G地区,月 木,水1 水3,水2 水4,土,月1 月3
田原,G地区,月 木,水1 水3,水2 水4,土,月1 月3
佐部,G地区,月 木,水1 水3,水2 水4,土,月1 月3
上田原,G地区,月 木,水1 水3,水2 水4,土,月1 月3
里川,H地区,火 20140502,火4,火2,火1 20140502,火3
